1	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#840.8#841.184
2	какой	какой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#841.184#841.568
3	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@vvp1934m-words#@vvp1934m#841.568#841.952
4	видите	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#841.952#842.336
5	основную	основной	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#842.336#842.72
6	проблему	проблема	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#842.72#843.104
7	нашего	наш	DET	_	Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#843.104#843.488
8	кино	кино	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#843.488#843.872
9	сегодня	сегодня	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#843.872#844.162
10	?	?	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#844.162#844.262
11	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#844.686#844.911
12	может	мочь	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#844.911#845.136
13	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#845.136#845.361
14	видите	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#845.361#845.586
15	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#845.586#845.811
16	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#845.811#846.036
17	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#846.036#846.266
18	серьезное	серьезный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#871.627#872.254
19	дело	дело	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#872.254#872.882
20	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#872.882#873.119
21	как	как	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#873.119#873.356
22	по	по	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#873.356#873.593
23	Вашему	ваш	DET	_	Case=Dat|Gender=Neut|Number=Plur	_	_	_	@vvp1934m-words#@vvp1934m#873.593#873.832
24	государство	государство	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#873.832#874.449
25	должно	должен	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@vvp1934m-words#@vvp1934m#874.449#875.066
26	финансировать	финансировать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#875.066#875.683
27	кино	кино	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#875.683#876.202
28	?	?	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#876.202#876.302
29	и	и	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#876.312#876.61
30	сразу	сразу	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#876.61#876.908
31	вслед	вслед	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#876.908#877.504
32	за	за	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#877.504#877.802
33	этим	этот	PRON	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#877.802#878.1
34	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#878.1#878.402
35	так	так	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#878.41#878.745
36	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#878.745#879.08
37	как	как	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#879.18#879.43
38	у	у	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#879.43#879.68
39	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#879.68#879.93
40	говорят	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#879.93#880.18
41	чуть	чуть	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#880.18#880.72
42	грубовато	грубовато	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#880.72#881.26
43	конечно	конечно	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#881.26#881.8
44	aaa	aaa	INTJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#881.8#883.2
45	кто	кто	PRON	_	Case=Nom	_	_	_	@vvp1934m-words#@vvp1934m#884.7#885.017
46	ужинает	ужинать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#885.017#885.334
47	девушку	девушка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#885.334#885.651
48	тот	тот	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#885.651#885.968
49	ее	она	PRON	_	Case=Gen|Gender=Fem|Number=Sing|Person=3	_	_	_	@vvp1934m-words#@vvp1934m#885.968#886.285
50	и	и	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#886.285#886.602
51	танцует	танцевать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#886.602#886.925
52	так	так	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#886.925#887.212
53	вот	вот	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#887.212#887.499
54	как	как	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#887.499#887.786
55	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@vvp1934m-words#@vvp1934m#887.786#888.073
56	к	к	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#888.073#888.36
57	этому	это	PRON	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#888.36#888.647
58	относитесь	относиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@vvp1934m-words#@vvp1934m#888.647#888.935
59	к	к	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#888.935#889.285
60	первому	первый	ADJ	_	Case=Dat|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#889.285#889.635
61	и	и	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#889.635#889.985
62	ко	к	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#889.985#890.335
63	второму	второй	ADJ	_	Case=Dat|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#890.335#890.585
64	?	?	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#890.585#890.685
65	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#922.21#922.707
66	как	как	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#922.707#923.204
67	следует	следовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#923.204#923.701
